TaskID,Description,AssignedEmployees,Advisors,PrecedingTasks,StoryPoints,StartTime,EstimatedFinishTime,Status,ActualFinishTime
TSK-AAD3FDE6,Monitor software performance in production,17,4,"TSK-001CD7B9,TSK-E4184D9F",3,2025-03-21,2025-03-23,Planned,
TSK-4B60BC24,Gather user feedback and iterate,"24,5","10,27","TSK-E4184D9F,TSK-79F400AD",4,2025-03-23,2025-03-25,Planned,
TSK-6618C3E3,Plan and execute maintenance releases,35,"24,2",TSK-65DE8E2B,5,2025-03-24,2025-03-27,Planned,
TSK-B8851C5B,Conduct project review and lessons learned,29,4,TSK-219116B7,3,2025-03-24,2025-03-25,Planned,
TSK-AD8E06D2,Close project and archive documents,30,17,"TSK-F8463718,TSK-6618C3E3",2,2025-03-22,2025-03-23,Planned,
TSK-EF64ABED,Set up continuous integration/continuous deployment pipeline,23,27,"TSK-E4184D9F,TSK-AFD11CD5,TSK-B0CB2041,TSK-766FCA90",11,2025-03-25,2025-03-31,Planned,
TSK-A98B9C03,Implement automated testing in CI/CD pipeline,20,"17,24",,9,2025-03-26,2025-03-31,Planned,
TSK-B41BD182,Monitor and improve CI/CD pipeline,"22,15",14,TSK-F8463718,6,2025-03-27,2025-03-31,Planned,
TSK-916D03DE,Automate infrastructure provisioning,"9,29,22",1,,10,2025-03-28,2025-04-02,Planned,
TSK-CFFE50B4,Integrate application monitoring tools,"20,3",16,"TSK-65DE8E2B,TSK-4CEBF5BD",7,2025-03-27,2025-03-31,Planned,
TSK-1CA82128,Implement security practices in the development process,32,10,"TSK-916D03DE,TSK-FBC65F65,TSK-A98B9C03,TSK-DB65408A",12,2025-03-25,2025-04-01,Planned,
TSK-A699EBBD,Set up disaster recovery and backup mechanisms,10,16,,8,2025-03-28,2025-04-02,Planned,
TSK-CDF22B0C,Perform a security audit,"16,9","11,17","TSK-4B60BC24,TSK-FA36435A",9,2025-03-26,2025-03-31,Planned,
TSK-716D1CEB,Implement changes based on security audit,25,"28,20","TSK-8F80BB99,TSK-1CA82128",10,2025-03-28,2025-04-03,Planned,
TSK-157B3FDD,Perform system stress and load testing,"21,34,3",29,"TSK-170A653F,TSK-219116B7,TSK-BD426780",8,2025-03-28,2025-04-01,Planned,
TSK-C9BCE7D1,Implement changes based on stress and load testing,"32,7","34,9","TSK-B41BD182,TSK-6B10CD13,TSK-B8851C5B,TSK-79F400AD",9,2025-03-30,2025-04-04,Planned,
TSK-A985F437,Plan and execute system scalability,"23,32,18",28,TSK-FBC65F65,11,2025-03-30,2025-04-05,Planned,
TSK-9DA08656,Optimize system performance,2,24,TSK-2D2A3DFB,10,2025-04-01,2025-04-06,Planned,
